ts,dugite_block,dugite_slot,koios_block,koios_slot,delta_blocks,tip_age,peers,apply_fail,rollbacks,utxos,mempool,rss_mb
2026-08-04T17:23:08Z,5016680,130180985,5016680,130180985,0,2,8,0,,4295539,0,11117
2026-08-04T17:28:10Z,5016694,130181274,5016694,130181274,0,15,15,0,,4295560,0,11120
2026-08-04T17:33:12Z,5016709,130181556,5016709,130181556,0,34,15,0,,4295564,0,11125
2026-08-04T17:38:19Z,5016725,130181867,5016726,130181895,1,25,15,0,,4295565,0,11127
2026-08-04T17:43:21Z,5016737,130182160,5016737,130182160,0,39,15,0,,4295547,0,11129
2026-08-04T17:48:23Z,5016750,130182490,5016750,130182490,0,11,15,0,,4295581,0,11129
2026-08-04T17:53:28Z,5016768,130182755,5016768,130182755,0,48,15,0,,4295298,0,11130
2026-08-04T17:58:30Z,5016781,130183105,5016781,130183105,0,3,15,0,,4295034,0,11130
2026-08-04T18:03:31Z,5016795,130183389,5016795,130183389,0,21,15,0,,4294704,0,11131
2026-08-04T18:08:33Z,5016807,130183683,5016807,130183683,0,28,15,0,,4294568,0,11146
2026-08-04T18:13:36Z,5016818,130183934,5016819,130184014,1,79,15,0,,4294428,0,11146
2026-08-04T18:18:38Z,5016835,130184306,5016835,130184306,0,10,15,0,,4294280,0,11153
2026-08-04T18:23:39Z,5016849,130184610,5016849,130184610,0,8,15,0,,4294220,0,11154
2026-08-04T18:28:40Z,5016862,130184916,5016862,130184916,0,3,15,0,,4294239,0,11154
2026-08-04T18:33:42Z,5016875,130185198,5016875,130185198,0,22,15,0,,4294244,0,11154
2026-08-04T18:38:52Z,5016890,130185500,,,,22,15,0,,4294245,0,11154
2026-08-04T18:43:54Z,5016900,130185816,5016900,130185816,0,16,15,0,,4294228,0,11155
2026-08-04T18:48:55Z,5016911,130186122,5016911,130186122,0,12,15,0,,4294228,0,11156
2026-08-04T19:16:26Z,5016993,130187774,5016993,130187774,0,11,15,0,,4294273,0,11158
2026-08-04T19:21:28Z,5017007,130188022,5017007,130188022,0,64,15,0,,4294264,0,11158
2026-08-04T19:26:29Z,5017024,130188360,5017024,130188360,0,28,15,0,,4294289,0,9382
2026-08-04T19:31:31Z,5017038,130188658,5017038,130188658,0,31,15,0,,4294271,0,9383
2026-08-04T19:36:32Z,5017048,130188960,5017048,130188960,0,31,15,0,,4294293,0,9383
2026-08-04T19:41:34Z,5017069,130189287,5017069,130189287,0,5,15,0,,4294281,0,9384
2026-08-04T19:46:35Z,5017084,130189566,5017084,130189566,0,28,15,0,,4294301,0,9384
2026-08-04T19:51:37Z,5017098,130189890,5017098,130189890,0,5,15,0,,4294308,0,9384
2026-08-04T19:56:38Z,5017112,130190195,5017112,130190195,0,2,15,0,,4294310,0,9384
2026-08-04T20:01:40Z,5017121,130190452,5017121,130190452,0,46,15,0,,4294309,0,9385
2026-08-04T20:06:41Z,5017129,130190739,5017129,130190739,0,61,15,0,,4294311,0,9385
2026-08-04T20:11:42Z,5017145,130191088,5017145,130191088,0,13,15,0,,4294298,0,8081
SAMPLER DONE
