epoch	reserves	treasury	supply	reward	fees
520	7645768723008280	1587845138859041	37354231276991720	758393097072992	72701133032
521	7633094000777687	1592331641228984	37366905999222313	750986743957242	125348359030
522	7620302863773952	1596870443401439	37379697136226048	744087709124872	126106389542
523	7607610747076201	1601367031103590	37392389252923799	732971954435332	180613758365
524	7595003223306721	1605867363924094	37404996776693279	720202556380216	200786096558
525	7582597266023565	1610327841943309	37417402733976435	716059158123988	178596662776
526	7570016745300604	1614845026268105	37429983254699396	707962983972354	211458647448
527	7557630419439671	1619326627836757	37442369580560329	705371594371509	190021074276
528	7545301818317184	1623777941276573	37454698181682816	706692635722719	158411032771
529	7533008055566611	1628218659074146	37466991944433389	707711491856568	132087308893
530	7520543391434932	1632716817250127	37479456608565068	709962325535426	113830599860
531	7508122101528199	1637199823678645	37491877898471801	710026718212986	103650666676
532	7495773911585373	1641656329184830	37504226088414627	706535415874895	107386764248
533	7483332054370326	1646135439887110	37516667945629674	707444102244278	92068198245
534	7470819003002992	1650631985932748	37529180996997008	709375961402344	97834822698
535	7458430104616144	1655096893563009	37541569895383856	710200653040365	135143065318
536	7445967855869507	1659589823833183	37554032144130493	709311059521156	102941304846
537	7433694305914142	1664007113173757	37566305694085858	711652597103589	93384750236
538	7421230710104429	1668494670404460	37578769289895571	711827827653839	117841394966
539	7408926927280507	1672936804237521	37591073072719493	716016143204693	76469312907
540	7396826608934598	1677291581661325	37603173391065402	719663384255653	67915279673
