ts	node_slot	koios_slot	delta	peers	rss_mb	errors	apply_fail
11:31:55Z	130419082	130419082	0	8	3873	0	0
11:36:57Z	130419415	130419415	0	11	3324	0	0
11:41:58Z	130419714	130419714	0	15	4990	0	0
11:47:00Z	130420014	130420014	0	15	4340	0	0
11:52:01Z	130420287	130420287	0	15	4346	0	0
11:57:03Z	130420610	130420610	0	15	4347	0	0
12:02:04Z	130420915	130420915	0	15	4348	0	0
12:07:06Z	130421217	130421217	0	16	4353	0	0
12:12:07Z	130421518	130421526	8	16	4357	0	0
12:17:09Z	130421813	130421813	0	15	4357	0	0
12:22:10Z	130422084	130422084	0	23	4107	0	0
12:27:12Z	130422409	130422409	0	23	4107	0	0
