ts,observer,event,slot,hash,issuer_vkey,body_size,n_txs
2026-05-16T15:15:08.002632Z,cardano-bp,forge,16,55f255670b5323abe11aef71c4f3e78cf2debb4c9efcf8996edb6b4781a60c97,,,
2026-05-16T15:15:08.00342Z,cardano-bp,recv,16,55f255670b5323abe11aef71c4f3e78cf2debb4c9efcf8996edb6b4781a60c97,,,
2026-05-16T15:15:08.003661Z,cardano-bp,forge,16,55f255670b5323abe11aef71c4f3e78cf2debb4c9efcf8996edb6b4781a60c97,,,
2026-05-16T15:15:09Z,dugite-relay,recv,16,55f255670b5323abe11aef71c4f3e78cf2debb4c9efcf8996edb6b4781a60c97,,,
2026-05-16T15:15:10Z,dugite-bp,recv,16,55f255670b5323abe11aef71c4f3e78cf2debb4c9efcf8996edb6b4781a60c97,,,
2026-05-16T15:15:14.002776Z,cardano-bp,forge,22,1d2d265cada7797b5670d4ed1369d60eed32bf4dd2005421167beb32e1446edd,,,
2026-05-16T15:15:14.003995Z,cardano-bp,recv,22,1d2d265cada7797b5670d4ed1369d60eed32bf4dd2005421167beb32e1446edd,,,
2026-05-16T15:15:14.004227Z,cardano-bp,forge,22,1d2d265cada7797b5670d4ed1369d60eed32bf4dd2005421167beb32e1446edd,,,
2026-05-16T15:15:15Z,dugite-relay,recv,22,1d2d265cada7797b5670d4ed1369d60eed32bf4dd2005421167beb32e1446edd,,,
2026-05-16T15:15:16Z,dugite-bp,recv,22,1d2d265cada7797b5670d4ed1369d60eed32bf4dd2005421167beb32e1446edd,,,
2026-05-16T15:15:20Z,dugite-bp,forge,28,c4e5a105e068ed231b63b6a380abd57669a454a20031163bba2d9050da21e4f7,,,
2026-05-16T15:15:21Z,dugite-relay,recv,28,c4e5a105e068ed231b63b6a380abd57669a454a20031163bba2d9050da21e4f7,,,
2026-05-16T15:15:21.277228Z,cardano-bp,recv,28,c4e5a105e068ed231b63b6a380abd57669a454a20031163bba2d9050da21e4f7,,,
2026-05-16T15:15:24.00479Z,cardano-bp,forge,32,aeaf82d736398d0c89183efac0b8e3ede0a88054a1db5f9d2ae136dd7988177b,,,
2026-05-16T15:15:24.006822Z,cardano-bp,recv,32,aeaf82d736398d0c89183efac0b8e3ede0a88054a1db5f9d2ae136dd7988177b,,,
2026-05-16T15:15:24.007225Z,cardano-bp,forge,32,aeaf82d736398d0c89183efac0b8e3ede0a88054a1db5f9d2ae136dd7988177b,,,
2026-05-16T15:15:27Z,dugite-bp,forge,35,9f8c396f6a40f486d0d1b31ac6cfd4cd1f32ce13c9a6f74b6bdde35d57235a84,,,
2026-05-16T15:15:27Z,dugite-relay,recv,35,9f8c396f6a40f486d0d1b31ac6cfd4cd1f32ce13c9a6f74b6bdde35d57235a84,,,
2026-05-16T15:15:42Z,dugite-bp,forge,50,bc77152157a26faac9e5a03367043419b7cf1d8bbae2e18b00a2c16d6c8f22cd,,,
2026-05-16T15:15:43Z,dugite-relay,recv,50,bc77152157a26faac9e5a03367043419b7cf1d8bbae2e18b00a2c16d6c8f22cd,,,
2026-05-16T15:15:43.274882Z,cardano-bp,recv,50,bc77152157a26faac9e5a03367043419b7cf1d8bbae2e18b00a2c16d6c8f22cd,,,
2026-05-16T15:15:53.002987Z,cardano-bp,forge,61,487c204357f302c88c67dd2611f5452bd7376369d768e18db69ef24e853fb06b,,,
2026-05-16T15:15:53.00463Z,cardano-bp,recv,61,487c204357f302c88c67dd2611f5452bd7376369d768e18db69ef24e853fb06b,,,
2026-05-16T15:15:53.005065Z,cardano-bp,forge,61,487c204357f302c88c67dd2611f5452bd7376369d768e18db69ef24e853fb06b,,,
2026-05-16T15:15:53Z,dugite-relay,recv,61,487c204357f302c88c67dd2611f5452bd7376369d768e18db69ef24e853fb06b,,,
2026-05-16T15:15:54Z,dugite-bp,recv,61,487c204357f302c88c67dd2611f5452bd7376369d768e18db69ef24e853fb06b,,,
