ts,node,slot,block_no,hash,era
2026-05-16T15:15:04Z,relay,6,1,7d88962dbe0fdfecc9cf6f6a9276f3d893d8a4776badfa84a28a0e975cc88305,Conway
2026-05-16T15:15:04Z,dugite-bp,5,0,259c78e9521123ed19eb215934381d394ca2c66ace20583dd67f185553a975c7,Conway
2026-05-16T15:15:04Z,cardano-bp,6,1,7d88962dbe0fdfecc9cf6f6a9276f3d893d8a4776badfa84a28a0e975cc88305,Conway
2026-05-16T15:15:10Z,relay,16,2,55f255670b5323abe11aef71c4f3e78cf2debb4c9efcf8996edb6b4781a60c97,Conway
2026-05-16T15:15:10Z,dugite-bp,16,2,55f255670b5323abe11aef71c4f3e78cf2debb4c9efcf8996edb6b4781a60c97,Conway
2026-05-16T15:15:10Z,cardano-bp,16,2,55f255670b5323abe11aef71c4f3e78cf2debb4c9efcf8996edb6b4781a60c97,Conway
2026-05-16T15:15:15Z,relay,16,2,55f255670b5323abe11aef71c4f3e78cf2debb4c9efcf8996edb6b4781a60c97,Conway
2026-05-16T15:15:15Z,dugite-bp,16,2,55f255670b5323abe11aef71c4f3e78cf2debb4c9efcf8996edb6b4781a60c97,Conway
2026-05-16T15:15:15Z,cardano-bp,22,3,1d2d265cada7797b5670d4ed1369d60eed32bf4dd2005421167beb32e1446edd,Conway
2026-05-16T15:15:20Z,relay,22,3,1d2d265cada7797b5670d4ed1369d60eed32bf4dd2005421167beb32e1446edd,Conway
2026-05-16T15:15:20Z,dugite-bp,28,4,c4e5a105e068ed231b63b6a380abd57669a454a20031163bba2d9050da21e4f7,Conway
2026-05-16T15:15:20Z,cardano-bp,22,3,1d2d265cada7797b5670d4ed1369d60eed32bf4dd2005421167beb32e1446edd,Conway
2026-05-16T15:15:25Z,relay,28,4,c4e5a105e068ed231b63b6a380abd57669a454a20031163bba2d9050da21e4f7,Conway
2026-05-16T15:15:25Z,dugite-bp,28,4,c4e5a105e068ed231b63b6a380abd57669a454a20031163bba2d9050da21e4f7,Conway
2026-05-16T15:15:25Z,cardano-bp,32,5,aeaf82d736398d0c89183efac0b8e3ede0a88054a1db5f9d2ae136dd7988177b,Conway
2026-05-16T15:15:30Z,relay,35,5,9f8c396f6a40f486d0d1b31ac6cfd4cd1f32ce13c9a6f74b6bdde35d57235a84,Conway
2026-05-16T15:15:30Z,dugite-bp,35,5,9f8c396f6a40f486d0d1b31ac6cfd4cd1f32ce13c9a6f74b6bdde35d57235a84,Conway
2026-05-16T15:15:30Z,cardano-bp,35,5,9f8c396f6a40f486d0d1b31ac6cfd4cd1f32ce13c9a6f74b6bdde35d57235a84,Conway
2026-05-16T15:15:35Z,relay,35,5,9f8c396f6a40f486d0d1b31ac6cfd4cd1f32ce13c9a6f74b6bdde35d57235a84,Conway
2026-05-16T15:15:35Z,dugite-bp,35,5,9f8c396f6a40f486d0d1b31ac6cfd4cd1f32ce13c9a6f74b6bdde35d57235a84,Conway
2026-05-16T15:15:35Z,cardano-bp,35,5,9f8c396f6a40f486d0d1b31ac6cfd4cd1f32ce13c9a6f74b6bdde35d57235a84,Conway
2026-05-16T15:15:41Z,relay,35,5,9f8c396f6a40f486d0d1b31ac6cfd4cd1f32ce13c9a6f74b6bdde35d57235a84,Conway
2026-05-16T15:15:41Z,dugite-bp,35,5,9f8c396f6a40f486d0d1b31ac6cfd4cd1f32ce13c9a6f74b6bdde35d57235a84,Conway
2026-05-16T15:15:41Z,cardano-bp,35,5,9f8c396f6a40f486d0d1b31ac6cfd4cd1f32ce13c9a6f74b6bdde35d57235a84,Conway
2026-05-16T15:15:46Z,relay,50,6,bc77152157a26faac9e5a03367043419b7cf1d8bbae2e18b00a2c16d6c8f22cd,Conway
2026-05-16T15:15:46Z,dugite-bp,50,6,bc77152157a26faac9e5a03367043419b7cf1d8bbae2e18b00a2c16d6c8f22cd,Conway
2026-05-16T15:15:46Z,cardano-bp,50,6,bc77152157a26faac9e5a03367043419b7cf1d8bbae2e18b00a2c16d6c8f22cd,Conway
2026-05-16T15:15:51Z,relay,50,6,bc77152157a26faac9e5a03367043419b7cf1d8bbae2e18b00a2c16d6c8f22cd,Conway
2026-05-16T15:15:51Z,dugite-bp,50,6,bc77152157a26faac9e5a03367043419b7cf1d8bbae2e18b00a2c16d6c8f22cd,Conway
2026-05-16T15:15:51Z,cardano-bp,50,6,bc77152157a26faac9e5a03367043419b7cf1d8bbae2e18b00a2c16d6c8f22cd,Conway
2026-05-16T15:15:56Z,relay,61,7,487c204357f302c88c67dd2611f5452bd7376369d768e18db69ef24e853fb06b,Conway
2026-05-16T15:15:56Z,dugite-bp,61,7,487c204357f302c88c67dd2611f5452bd7376369d768e18db69ef24e853fb06b,Conway
2026-05-16T15:15:56Z,cardano-bp,61,7,487c204357f302c88c67dd2611f5452bd7376369d768e18db69ef24e853fb06b,Conway
2026-05-16T15:16:01Z,relay,68,8,c26fcbcddcaad185cff98fd63bc3ed269cede6bb04348cf7b4df80b428a0b04c,Conway
2026-05-16T15:16:01Z,dugite-bp,68,8,c26fcbcddcaad185cff98fd63bc3ed269cede6bb04348cf7b4df80b428a0b04c,Conway
2026-05-16T15:16:01Z,cardano-bp,68,8,c26fcbcddcaad185cff98fd63bc3ed269cede6bb04348cf7b4df80b428a0b04c,Conway
2026-05-16T15:16:06Z,relay,71,9,f0d7e6e5df477f61a4243d5e1845b37cefe5e8a73ca081add9445d0e2fe62fb4,Conway
2026-05-16T15:16:06Z,dugite-bp,71,9,f0d7e6e5df477f61a4243d5e1845b37cefe5e8a73ca081add9445d0e2fe62fb4,Conway
2026-05-16T15:16:06Z,cardano-bp,74,10,96059136ea283de9e0b845feac4ad46b7375fc95daca74d644b9d155aa29e3ec,Conway
2026-05-16T15:16:12Z,relay,74,10,96059136ea283de9e0b845feac4ad46b7375fc95daca74d644b9d155aa29e3ec,Conway
2026-05-16T15:16:12Z,dugite-bp,74,10,96059136ea283de9e0b845feac4ad46b7375fc95daca74d644b9d155aa29e3ec,Conway
2026-05-16T15:16:12Z,cardano-bp,74,10,96059136ea283de9e0b845feac4ad46b7375fc95daca74d644b9d155aa29e3ec,Conway
2026-05-16T15:16:17Z,relay,74,10,96059136ea283de9e0b845feac4ad46b7375fc95daca74d644b9d155aa29e3ec,Conway
2026-05-16T15:16:17Z,dugite-bp,74,10,96059136ea283de9e0b845feac4ad46b7375fc95daca74d644b9d155aa29e3ec,Conway
2026-05-16T15:16:17Z,cardano-bp,74,10,96059136ea283de9e0b845feac4ad46b7375fc95daca74d644b9d155aa29e3ec,Conway
2026-05-16T15:16:22Z,relay,74,10,96059136ea283de9e0b845feac4ad46b7375fc95daca74d644b9d155aa29e3ec,Conway
2026-05-16T15:16:22Z,dugite-bp,74,10,96059136ea283de9e0b845feac4ad46b7375fc95daca74d644b9d155aa29e3ec,Conway
2026-05-16T15:16:22Z,cardano-bp,74,10,96059136ea283de9e0b845feac4ad46b7375fc95daca74d644b9d155aa29e3ec,Conway
2026-05-16T15:16:27Z,relay,74,10,96059136ea283de9e0b845feac4ad46b7375fc95daca74d644b9d155aa29e3ec,Conway
2026-05-16T15:16:27Z,dugite-bp,74,10,96059136ea283de9e0b845feac4ad46b7375fc95daca74d644b9d155aa29e3ec,Conway
2026-05-16T15:16:27Z,cardano-bp,74,10,96059136ea283de9e0b845feac4ad46b7375fc95daca74d644b9d155aa29e3ec,Conway
2026-05-16T15:16:32Z,relay,74,10,96059136ea283de9e0b845feac4ad46b7375fc95daca74d644b9d155aa29e3ec,Conway
2026-05-16T15:16:32Z,dugite-bp,74,10,96059136ea283de9e0b845feac4ad46b7375fc95daca74d644b9d155aa29e3ec,Conway
2026-05-16T15:16:32Z,cardano-bp,74,10,96059136ea283de9e0b845feac4ad46b7375fc95daca74d644b9d155aa29e3ec,Conway
2026-05-16T15:16:37Z,relay,104,11,0b42c01717ddfafcbac939c7cc04ae83695fc330332a7cb301e75607bf676d3f,Conway
2026-05-16T15:16:37Z,dugite-bp,104,11,0b42c01717ddfafcbac939c7cc04ae83695fc330332a7cb301e75607bf676d3f,Conway
2026-05-16T15:16:37Z,cardano-bp,104,11,0b42c01717ddfafcbac939c7cc04ae83695fc330332a7cb301e75607bf676d3f,Conway
2026-05-16T15:16:43Z,relay,104,11,0b42c01717ddfafcbac939c7cc04ae83695fc330332a7cb301e75607bf676d3f,Conway
2026-05-16T15:16:43Z,dugite-bp,111,12,b82290e8162b3edd829e2372692f2a989e64a5ee6470a9744c71fee1a646646c,Conway
2026-05-16T15:16:43Z,cardano-bp,104,11,0b42c01717ddfafcbac939c7cc04ae83695fc330332a7cb301e75607bf676d3f,Conway
2026-05-16T15:16:48Z,relay,111,12,b82290e8162b3edd829e2372692f2a989e64a5ee6470a9744c71fee1a646646c,Conway
2026-05-16T15:16:48Z,dugite-bp,111,12,b82290e8162b3edd829e2372692f2a989e64a5ee6470a9744c71fee1a646646c,Conway
2026-05-16T15:16:48Z,cardano-bp,111,12,b82290e8162b3edd829e2372692f2a989e64a5ee6470a9744c71fee1a646646c,Conway
2026-05-16T15:16:53Z,relay,111,12,b82290e8162b3edd829e2372692f2a989e64a5ee6470a9744c71fee1a646646c,Conway
2026-05-16T15:16:53Z,dugite-bp,111,12,b82290e8162b3edd829e2372692f2a989e64a5ee6470a9744c71fee1a646646c,Conway
2026-05-16T15:16:53Z,cardano-bp,111,12,b82290e8162b3edd829e2372692f2a989e64a5ee6470a9744c71fee1a646646c,Conway
2026-05-16T15:16:58Z,relay,124,13,038d3448ee0c930b686a3e5436d1b6739684d2112438846bd8ae9809d8fcfbe2,Conway
2026-05-16T15:16:58Z,dugite-bp,124,13,038d3448ee0c930b686a3e5436d1b6739684d2112438846bd8ae9809d8fcfbe2,Conway
2026-05-16T15:16:58Z,cardano-bp,125,14,eb131a0b39c33fbe0c3fca539789e5370757ed4deab15aa835d0bc31753d445c,Conway
2026-05-16T15:17:03Z,relay,128,15,d4bf1e2e9e90b159d8ff2840d15aea7dd29df61e7c4436f584729af93bf54f14,Conway
2026-05-16T15:17:03Z,dugite-bp,128,15,d4bf1e2e9e90b159d8ff2840d15aea7dd29df61e7c4436f584729af93bf54f14,Conway
2026-05-16T15:17:03Z,cardano-bp,129,16,d0135bd96b1691ac3f63dbc2725849d7961d1e4d9cdce98239580b292e09be48,Conway
2026-05-16T15:17:08Z,relay,128,15,d4bf1e2e9e90b159d8ff2840d15aea7dd29df61e7c4436f584729af93bf54f14,Conway
2026-05-16T15:17:08Z,dugite-bp,128,15,d4bf1e2e9e90b159d8ff2840d15aea7dd29df61e7c4436f584729af93bf54f14,Conway
2026-05-16T15:17:08Z,cardano-bp,129,16,d0135bd96b1691ac3f63dbc2725849d7961d1e4d9cdce98239580b292e09be48,Conway
2026-05-16T15:17:14Z,relay,137,17,b943fa15bd001f6b819075ce605f2b23bdc9ea802c0255caf2ae2598f3b7c79d,Conway
2026-05-16T15:17:14Z,dugite-bp,137,17,b943fa15bd001f6b819075ce605f2b23bdc9ea802c0255caf2ae2598f3b7c79d,Conway
2026-05-16T15:17:14Z,cardano-bp,137,17,b943fa15bd001f6b819075ce605f2b23bdc9ea802c0255caf2ae2598f3b7c79d,Conway
2026-05-16T15:17:19Z,relay,143,18,b41741dfd7d6a09720da0282380541c432bce56a59f93201fcf48506f791055f,Conway
2026-05-16T15:17:19Z,dugite-bp,143,18,b41741dfd7d6a09720da0282380541c432bce56a59f93201fcf48506f791055f,Conway
2026-05-16T15:17:19Z,cardano-bp,143,18,b41741dfd7d6a09720da0282380541c432bce56a59f93201fcf48506f791055f,Conway
2026-05-16T15:17:24Z,relay,150,19,873a9fb8f93c3bff848dd0beec562c7e4f23dda03fd05286a315d403d6eb7d2b,Conway
2026-05-16T15:17:24Z,dugite-bp,150,19,873a9fb8f93c3bff848dd0beec562c7e4f23dda03fd05286a315d403d6eb7d2b,Conway
2026-05-16T15:17:24Z,cardano-bp,150,19,873a9fb8f93c3bff848dd0beec562c7e4f23dda03fd05286a315d403d6eb7d2b,Conway
2026-05-16T15:17:29Z,relay,150,19,873a9fb8f93c3bff848dd0beec562c7e4f23dda03fd05286a315d403d6eb7d2b,Conway
2026-05-16T15:17:29Z,dugite-bp,150,19,873a9fb8f93c3bff848dd0beec562c7e4f23dda03fd05286a315d403d6eb7d2b,Conway
2026-05-16T15:17:29Z,cardano-bp,150,19,873a9fb8f93c3bff848dd0beec562c7e4f23dda03fd05286a315d403d6eb7d2b,Conway
2026-05-16T15:17:34Z,relay,150,19,873a9fb8f93c3bff848dd0beec562c7e4f23dda03fd05286a315d403d6eb7d2b,Conway
2026-05-16T15:17:34Z,dugite-bp,162,20,39f59d815499bf1c1975b71cbbe0fb04e08341345ceb86ffd7ba6e0b7a1bae61,Conway
2026-05-16T15:17:34Z,cardano-bp,150,19,873a9fb8f93c3bff848dd0beec562c7e4f23dda03fd05286a315d403d6eb7d2b,Conway
2026-05-16T15:17:39Z,relay,162,20,39f59d815499bf1c1975b71cbbe0fb04e08341345ceb86ffd7ba6e0b7a1bae61,Conway
2026-05-16T15:17:39Z,dugite-bp,162,20,39f59d815499bf1c1975b71cbbe0fb04e08341345ceb86ffd7ba6e0b7a1bae61,Conway
2026-05-16T15:17:39Z,cardano-bp,162,20,39f59d815499bf1c1975b71cbbe0fb04e08341345ceb86ffd7ba6e0b7a1bae61,Conway
2026-05-16T15:17:44Z,relay,168,21,ef133a9b5a2591261a84134905542af08352957a26614d9df7f6e38ca9f51ac8,Conway
2026-05-16T15:17:44Z,dugite-bp,168,21,ef133a9b5a2591261a84134905542af08352957a26614d9df7f6e38ca9f51ac8,Conway
2026-05-16T15:17:44Z,cardano-bp,173,22,e9254707ad9ade83b698c413de7a20663cebd30ddde1ba8ae2d3d918e1791860,Conway
2026-05-16T15:17:50Z,relay,177,23,dfdec50ed68bdb97313e07848f73c834b0f944062094751e57a84adc862fe4c6,Conway
2026-05-16T15:17:50Z,dugite-bp,177,23,dfdec50ed68bdb97313e07848f73c834b0f944062094751e57a84adc862fe4c6,Conway
2026-05-16T15:17:50Z,cardano-bp,177,23,dfdec50ed68bdb97313e07848f73c834b0f944062094751e57a84adc862fe4c6,Conway
2026-05-16T15:17:55Z,relay,179,24,80f5d2161036f9a8a3d1ce8aa1dadcdd7481acd88e423fb26570d45a5b0dcc62,Conway
2026-05-16T15:17:55Z,dugite-bp,177,23,dfdec50ed68bdb97313e07848f73c834b0f944062094751e57a84adc862fe4c6,Conway
2026-05-16T15:17:55Z,cardano-bp,179,24,80f5d2161036f9a8a3d1ce8aa1dadcdd7481acd88e423fb26570d45a5b0dcc62,Conway
2026-05-16T15:18:00Z,relay,187,25,3461426a55cd45735e0ea9d0c061d358733681b6030292af5990da7e2e628a12,Conway
2026-05-16T15:18:00Z,dugite-bp,187,25,3461426a55cd45735e0ea9d0c061d358733681b6030292af5990da7e2e628a12,Conway
2026-05-16T15:18:00Z,cardano-bp,188,26,7727c87148bf85ba38540fe4efccdf706bfbac412ab186edd04cf1ef918957f2,Conway
2026-05-16T15:18:05Z,relay,191,27,3a92771a4ff6e7650dadd63afdb78ec959c8c25f91b40665f0a4c83ec1cbcddc,Conway
2026-05-16T15:18:05Z,dugite-bp,191,27,3a92771a4ff6e7650dadd63afdb78ec959c8c25f91b40665f0a4c83ec1cbcddc,Conway
2026-05-16T15:18:05Z,cardano-bp,191,27,3a92771a4ff6e7650dadd63afdb78ec959c8c25f91b40665f0a4c83ec1cbcddc,Conway
2026-05-16T15:18:10Z,relay,191,27,3a92771a4ff6e7650dadd63afdb78ec959c8c25f91b40665f0a4c83ec1cbcddc,Conway
2026-05-16T15:18:10Z,dugite-bp,191,27,3a92771a4ff6e7650dadd63afdb78ec959c8c25f91b40665f0a4c83ec1cbcddc,Conway
2026-05-16T15:18:10Z,cardano-bp,191,27,3a92771a4ff6e7650dadd63afdb78ec959c8c25f91b40665f0a4c83ec1cbcddc,Conway
2026-05-16T15:18:15Z,relay,199,28,e1710db7d2e77a62af06327df08d17e76c7c13d150e2bcfa45fbb8018893e84a,Conway
2026-05-16T15:18:15Z,dugite-bp,199,28,e1710db7d2e77a62af06327df08d17e76c7c13d150e2bcfa45fbb8018893e84a,Conway
2026-05-16T15:18:15Z,cardano-bp,199,28,e1710db7d2e77a62af06327df08d17e76c7c13d150e2bcfa45fbb8018893e84a,Conway
2026-05-16T15:18:21Z,relay,206,29,c65d0863c01d3432a907201b40c8fda83582e4f3076e27abc7a7b18922348c51,Conway
2026-05-16T15:18:21Z,dugite-bp,206,29,c65d0863c01d3432a907201b40c8fda83582e4f3076e27abc7a7b18922348c51,Conway
2026-05-16T15:18:21Z,cardano-bp,206,29,c65d0863c01d3432a907201b40c8fda83582e4f3076e27abc7a7b18922348c51,Conway
2026-05-16T15:18:26Z,relay,213,30,6e59122f7c2d82bcdec924fa5967ec9369a9325c95bc54d8ab36b168bc179dfa,Conway
2026-05-16T15:18:26Z,dugite-bp,213,30,6e59122f7c2d82bcdec924fa5967ec9369a9325c95bc54d8ab36b168bc179dfa,Conway
2026-05-16T15:18:26Z,cardano-bp,213,30,6e59122f7c2d82bcdec924fa5967ec9369a9325c95bc54d8ab36b168bc179dfa,Conway
2026-05-16T15:18:31Z,relay,213,30,6e59122f7c2d82bcdec924fa5967ec9369a9325c95bc54d8ab36b168bc179dfa,Conway
2026-05-16T15:18:31Z,dugite-bp,213,30,6e59122f7c2d82bcdec924fa5967ec9369a9325c95bc54d8ab36b168bc179dfa,Conway
2026-05-16T15:18:31Z,cardano-bp,213,30,6e59122f7c2d82bcdec924fa5967ec9369a9325c95bc54d8ab36b168bc179dfa,Conway
2026-05-16T15:18:36Z,relay,221,31,d79737518365869a97298c0cb0a12e5177c4a2f5205c73fd6a446f3fec74ddc7,Conway
