ts,observer,event,slot,hash,issuer_vkey,body_size,n_txs
2026-05-16T16:08:21Z,dugite-bp,forge,25,e57496c0be103926cb107e1e41a06a7a78e8e3856405f8928f9000a23c1eb710,,,
2026-05-16T16:08:22Z,dugite-relay,recv,25,e57496c0be103926cb107e1e41a06a7a78e8e3856405f8928f9000a23c1eb710,,,
2026-05-16T16:08:22.597162Z,cardano-bp,recv,25,e57496c0be103926cb107e1e41a06a7a78e8e3856405f8928f9000a23c1eb710,,,
2026-05-16T16:08:31Z,dugite-bp,forge,35,bec2d3d3b44f32754d1414aaf30b3994bd2174f79051a41e0588f9db024fbad6,,,
2026-05-16T16:08:32Z,dugite-relay,recv,35,bec2d3d3b44f32754d1414aaf30b3994bd2174f79051a41e0588f9db024fbad6,,,
2026-05-16T16:08:32.596203Z,cardano-bp,recv,35,bec2d3d3b44f32754d1414aaf30b3994bd2174f79051a41e0588f9db024fbad6,,,
2026-05-16T16:08:33.002149Z,cardano-bp,forge,38,0cd03e5c2d566f1e904c823dbf2fcdf37ae7186fedf1bacfa8b053b7a21c0f6f,,,
2026-05-16T16:08:33.002755Z,cardano-bp,recv,38,0cd03e5c2d566f1e904c823dbf2fcdf37ae7186fedf1bacfa8b053b7a21c0f6f,,,
2026-05-16T16:08:33.003102Z,cardano-bp,forge,38,0cd03e5c2d566f1e904c823dbf2fcdf37ae7186fedf1bacfa8b053b7a21c0f6f,,,
2026-05-16T16:08:34Z,dugite-relay,recv,38,0cd03e5c2d566f1e904c823dbf2fcdf37ae7186fedf1bacfa8b053b7a21c0f6f,,,
2026-05-16T16:08:35Z,dugite-bp,forge,39,2ef589a362a127d12a580746c01712d379f08e9dce2af64a78ad1a6b6bc6d480,,,
2026-05-16T16:08:36Z,dugite-relay,recv,39,2ef589a362a127d12a580746c01712d379f08e9dce2af64a78ad1a6b6bc6d480,,,
2026-05-16T16:08:43.001617Z,cardano-bp,forge,48,58b0a33d92cdd3d907c5df3d2987900385f09ebc36abca2d030808489dc83c9c,,,
2026-05-16T16:08:43.003065Z,cardano-bp,recv,48,58b0a33d92cdd3d907c5df3d2987900385f09ebc36abca2d030808489dc83c9c,,,
2026-05-16T16:08:43.003266Z,cardano-bp,forge,48,58b0a33d92cdd3d907c5df3d2987900385f09ebc36abca2d030808489dc83c9c,,,
2026-05-16T16:08:44Z,dugite-relay,recv,48,58b0a33d92cdd3d907c5df3d2987900385f09ebc36abca2d030808489dc83c9c,,,
2026-05-16T16:08:45Z,dugite-bp,recv,48,58b0a33d92cdd3d907c5df3d2987900385f09ebc36abca2d030808489dc83c9c,,,
2026-05-16T16:08:50.002224Z,cardano-bp,forge,55,12beb609a443c4aacddf3e62c7e79c0cb8e2de1d6868c7d914f8bcfc4118fc64,,,
