ts,node,slot,block_no,hash,era
2026-05-16T16:08:15Z,relay,12,1,3b411b090570fe498476b57604f55bee1988b4d2c4c6f815efc746477ce08422,Conway
2026-05-16T16:08:15Z,dugite-bp,11,0,abd85ee0408b6fa831cbe264f0e9c85c0876acd5d97f0b5b0f1af234c9e58d77,Conway
2026-05-16T16:08:15Z,cardano-bp,12,1,3b411b090570fe498476b57604f55bee1988b4d2c4c6f815efc746477ce08422,Conway
2026-05-16T16:08:20Z,relay,12,1,3b411b090570fe498476b57604f55bee1988b4d2c4c6f815efc746477ce08422,Conway
2026-05-16T16:08:20Z,dugite-bp,11,0,abd85ee0408b6fa831cbe264f0e9c85c0876acd5d97f0b5b0f1af234c9e58d77,Conway
2026-05-16T16:08:20Z,cardano-bp,12,1,3b411b090570fe498476b57604f55bee1988b4d2c4c6f815efc746477ce08422,Conway
2026-05-16T16:08:25Z,relay,25,2,e57496c0be103926cb107e1e41a06a7a78e8e3856405f8928f9000a23c1eb710,Conway
2026-05-16T16:08:25Z,dugite-bp,25,2,e57496c0be103926cb107e1e41a06a7a78e8e3856405f8928f9000a23c1eb710,Conway
2026-05-16T16:08:25Z,cardano-bp,25,2,e57496c0be103926cb107e1e41a06a7a78e8e3856405f8928f9000a23c1eb710,Conway
2026-05-16T16:08:30Z,relay,25,2,e57496c0be103926cb107e1e41a06a7a78e8e3856405f8928f9000a23c1eb710,Conway
2026-05-16T16:08:30Z,dugite-bp,25,2,e57496c0be103926cb107e1e41a06a7a78e8e3856405f8928f9000a23c1eb710,Conway
2026-05-16T16:08:30Z,cardano-bp,25,2,e57496c0be103926cb107e1e41a06a7a78e8e3856405f8928f9000a23c1eb710,Conway
2026-05-16T16:08:35Z,relay,38,4,0cd03e5c2d566f1e904c823dbf2fcdf37ae7186fedf1bacfa8b053b7a21c0f6f,Conway
2026-05-16T16:08:35Z,dugite-bp,39,4,2ef589a362a127d12a580746c01712d379f08e9dce2af64a78ad1a6b6bc6d480,Conway
2026-05-16T16:08:35Z,cardano-bp,38,4,0cd03e5c2d566f1e904c823dbf2fcdf37ae7186fedf1bacfa8b053b7a21c0f6f,Conway
2026-05-16T16:08:41Z,relay,39,4,2ef589a362a127d12a580746c01712d379f08e9dce2af64a78ad1a6b6bc6d480,Conway
2026-05-16T16:08:41Z,dugite-bp,39,4,2ef589a362a127d12a580746c01712d379f08e9dce2af64a78ad1a6b6bc6d480,Conway
2026-05-16T16:08:41Z,cardano-bp,39,4,2ef589a362a127d12a580746c01712d379f08e9dce2af64a78ad1a6b6bc6d480,Conway
2026-05-16T16:08:46Z,relay,48,5,58b0a33d92cdd3d907c5df3d2987900385f09ebc36abca2d030808489dc83c9c,Conway
2026-05-16T16:08:46Z,dugite-bp,48,5,58b0a33d92cdd3d907c5df3d2987900385f09ebc36abca2d030808489dc83c9c,Conway
